order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1001,101,2,29.99,0
2,1001,102,1,89.99,10
3,1002,103,1,49.99,0
4,1002,106,1,79.99,5
5,1003,104,2,39.99,0
6,1004,101,1,29.99,0
7,1004,105,3,24.99,15
8,1005,107,1,34.99,0
9,1005,108,5,12.99,20
10,1006,109,2,29.99,0
11,1007,102,1,89.99,0
12,1007,110,2,19.99,10
13,1008,101,1,29.99,5
14,1009,103,2,49.99,0
15,1009,106,1,79.99,0
16,1010,104,1,39.99,0
17,1011,105,2,24.99,0
18,1012,107,1,34.99,10
19,1013,108,3,12.99,0
20,1013,109,1,29.99,5
21,1014,110,4,19.99,0
22,1015,102,1,89.99,0
